,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,0.978665918983,0.0404097186404,0.902655751535,0.951273786963,0.978566066511,1.00448278271,1.06186960813,0.00103708704622
a_std,0.168326491503,0.0325100470428,0.117867904487,0.144856059978,0.165501614724,0.186898707355,0.239843686256,0.000873781637101
a_subj.374,0.909561956956,0.0199643248235,0.869442089149,0.896754335072,0.909144308006,0.922703628487,0.950244702385,0.00068025505833
a_subj.474,0.964793322172,0.0269344836326,0.912383652678,0.946742058526,0.964249950672,0.982861909391,1.01788169333,0.00112575682517
a_subj.475,0.972981357149,0.0234765817986,0.926919352121,0.957188684018,0.972564284967,0.989216166873,1.0188116405,0.00085725075488
a_subj.476,1.08902351968,0.0256546229469,1.03984595196,1.07140810696,1.08861481824,1.1052048845,1.14261958697,0.00098683139228
a_subj.478,0.839938538791,0.0229382598236,0.798974805545,0.823908923402,0.838157136581,0.855591192421,0.887526668141,0.000919890917997
a_subj.479,1.13621960159,0.027644220064,1.08351678143,1.11806016381,1.13596294538,1.15466723865,1.19072478109,0.00108966748555
a_subj.480,1.19315875854,0.034629091987,1.12695333197,1.17087281547,1.19240540554,1.21611423705,1.264688032,0.0017559957989
a_subj.481,0.936204020931,0.0239141994299,0.891464925658,0.920435860106,0.935843044349,0.951834032947,0.984467134326,0.00103919661169
a_subj.482,0.993248022033,0.0219509431708,0.950391297202,0.97862910014,0.992810445951,1.00658071701,1.03944635744,0.000919240931018
a_subj.483,1.27714102348,0.0408111290022,1.20016821055,1.24934682109,1.27655923477,1.30385140693,1.36043363102,0.00203419310036
a_subj.484,0.984307530582,0.0227642419126,0.940999844507,0.969529821147,0.983278014003,0.998967230496,1.03101106465,0.000920062245192
a_subj.485,0.923179369271,0.0219525302748,0.881259941862,0.908253801331,0.922847059325,0.937065702654,0.968712182414,0.000759072819769
a_subj.486,1.10158776401,0.0242434276882,1.05604890232,1.08514049425,1.1006880508,1.1173998797,1.1510095914,0.000827306095884
a_subj.487,0.844144138974,0.0209088322158,0.802573382677,0.830320294185,0.844575736442,0.858221563904,0.884340948092,0.00100012498095
a_subj.488,1.04755761961,0.0241036939599,1.0015088866,1.0306775427,1.04738768442,1.06318823661,1.0953439573,0.000969090463885
a_subj.489,0.794584666598,0.0146651690303,0.766980892716,0.784296252275,0.794276672357,0.804552881767,0.824341953698,0.000416394462902
a_subj.492,0.638289139213,0.0144468120001,0.610953030718,0.628016975682,0.637953264641,0.647954832746,0.667489779958,0.00046922122426
